30	601012	DR隆基股	24.41	-2.55	-0.64	18.4万	41	24.37	24.43	25.06	-5.54	0.66	4.55亿	0.04	25.06	 材料行业	25.44	24.30	25.06	25.05	4.55	0.77	-1.01	-6	24.78	11.8万	6.52万	1.81	10	193	4.95	27.9亿	681亿	27.7亿		675亿		-4.44		-8.41		2.40		4.97		
31	601985	中国核电	6.26	-2.49	-0.16	30.8万	72	6.25	6.26	6.40	-9.25	0.73	1.94亿	-0.16	6.40	 机械行业	6.41	6.23	6.40	6.42	2.80	2.28	19.35	4530	6.30	20.9万	9.94万	2.10	2564	836	2.19	156亿	974亿	42.3亿		265亿		-5.01		-6.15		1.39		2.33		
32	601688	华泰证券	17.00	-2.35	-0.41	34.3万	14	16.99	17.00	17.32	6.14	0.63	5.87亿	-0.18	17.32	 券商信托	17.45	16.92	17.32	17.41	3.04	1.06	3.44	66	17.11	21.6万	12.7万	1.71	12	233	1.37	71.6亿	1218亿	54.4亿		925亿		-3.13		-7.21		1.51		3.59		
33	002797	第一创业	7.11	-2.34	-0.17	46.4万	4038	7.10	7.11	7.28	-24.29	2.42	3.32亿	0.00	7.28	 券商信托	7.29	7.06	7.28	7.28	3.16	1.55	2.81	590	7.16	28.1万	18.3万	1.54	2141	2353	2.79	35.0亿	249亿	19.2亿		136亿		-4.18		-6.69		5.42		10.20		
34	000826	启迪桑德	20.48	-2.29	-0.48	7.67万	931	20.48	20.49	21.03	-11.21	0.65	1.58亿	0.15	21.03	 环保工程	21.05	20.29	21.03	20.96	3.63	0.94	71.08	817	20.59	4.23万	3.44万	1.23	196	10	2.32	14.3亿	293亿	11.9亿		243亿		-3.53		-6.15		1.86		4.10		
35	000627	天茂集团	7.77	-2.26	-0.18	8.20万	3495	7.77	7.78	7.92	-3.25	0.61	6430万	-0.26	7.92	 保险	7.96	7.77	7.92	7.95	2.39	0.99	60.15	7812	7.84	5.97万	2.23万	2.68	2269	1781	1.99	49.4亿	384亿	13.5亿		105亿		-1.77		-4.19		1.82		3.68		
36	000792	盐湖股份	12.30	-2.15	-0.27	16.6万	3234	12.29	12.30	12.54	-12.37	0.60	2.07亿	-0.40	12.54	 化工行业	12.69	12.27	12.54	12.57	3.34	0.74	1.40	35	12.50	9.79万	6.78万	1.44	60	690	1.85	27.9亿	343亿	27.5亿		338亿		-4.95		-9.23		1.94		4.68		
37	600958	东方证券	11.38	-2.15	-0.25	8.04万	654	11.37	11.38	11.65	-12.27	0.15	9247万	-0.18	11.65	 券商信托	11.67	11.37	11.65	11.63	2.58	1.36	-6.60	-264	11.51	5.01万	3.03万	1.65	468	631	1.52	69.9亿	796亿	51.9亿		590亿		-3.15		-4.69		0.40		0.72		
38	000069	华侨城Ａ	7.78	-2.14	-0.17	31.8万	1454	7.78	7.79	7.91	-8.83	0.52	2.49亿	-0.13	7.91	 房地产	8.00	7.71	7.91	7.95	3.65	1.83	9.51	1422	7.81	21.6万	10.2万	2.13	5184	531	1.19	82.0亿	638亿	61.5亿		478亿		-2.63		-4.42		1.15		1.93		
39	002736	国信证券	10.24	-2.10	-0.22	5.62万	736	10.24	10.25	10.45	-0.92	0.07	5809万	-0.10	10.45	 券商信托	10.48	10.22	10.45	10.46	2.49	1.24	39.39	971	10.34	3.84万	1.78万	2.16	109	289	1.76	82.0亿	840亿	82.0亿		840亿		-3.67		-5.19		0.16		0.35		
